X,Y,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD,DETAILS,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-77.0308985203579,38.9111347408662,10724521,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 15:09:40+00,2023/03/22 15:39:05+00,2023/04/03 15:09:40+00,2023/03/15 15:09:40+00,,,,Closed,,23-00124770,Standard,Q STREET NW AND KINGMAN PLACE NW,397320.35999546,138140.93700392,38.91112695,-77.03089623,WASHINGTON,DC,20009,900493,2,,,{F6F2D87E-391F-7F8A-E053-782F520AED12},,,,
-76.9859409885344,38.9012180129376,10724551,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 15:58:39+00,2023/04/07 19:15:12+00,2023/04/03 15:58:39+00,2023/03/15 15:58:39+00,,,,Closed,,23-00124938,Standard,1102 STAPLES STREET NE,401219.71,137039.74,38.90121056,-76.98593871,WASHINGTON,DC,20002,74435,5,,,{F6F3796F-ECB0-1362-E053-782F520A4D54},,,,
-76.9939402648026,38.8949534749239,10724558,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 16:18:07+00,2023/04/12 12:17:47+00,2023/04/03 16:18:07+00,2023/03/15 16:18:07+00,,,,Closed,,23-00125009,Standard,400 9TH STREET NE,400525.88,136344.25,38.89494602,-76.99393798,WASHINGTON,DC,20002,28540,6,,,{F6F3E4BB-06F1-4F2C-E053-782F520A8327},,,,
-76.9884531285429,38.8628262469033,10724585,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 17:31:13+00,2023/03/21 16:42:06+00,2023/04/03 17:31:13+00,2023/03/15 17:31:13+00,,,,Closed,,23-00125262,Standard,2326 PAYNE TERRACE SE,401002.34,132777.93,38.8628188,-76.98845085,WASHINGTON,DC,20020,48364,8,,,{F6F4F0F4-5CAD-3E5A-E053-782F520AC3E2},,,,
-77.0008389484687,38.9151902612078,10724657,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 18:21:48+00,,2023/04/03 18:21:48+00,2023/03/15 18:21:48+00,,,,Open,,23-00125431,Standard,1876 4TH STREET NE,399927.44,138590.68,38.9151828,-77.00083666,WASHINGTON,DC,20002,156294,5,,,{F6F591E2-4463-497B-E053-782F520AA85A},,,,
-76.9244902555942,38.9030828798129,10725426,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 12:48:59+00,2023/03/31 15:39:05+00,2023/04/03 12:48:59+00,2023/03/15 12:48:59+00,,,,Closed,,23-00124202,Standard,5216 JUST STREET NE,406549.92,137249.37,38.90307542,-76.924488,WASHINGTON,DC,20019,11606,7,,,{F6F0F5D1-D65F-106D-E053-792F520A76A7},,,,
-77.0414936407572,38.8928620851317,10725530,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 13:46:04+00,2023/03/20 13:54:58+00,2023/04/03 13:46:04+00,2023/03/15 13:46:04+00,,,,Canceled,,23-00124429,Standard,201 18TH STREET NW,396400.52,136112.89,38.8928543,-77.04149134,WASHINGTON,DC,20006,294191,2,,,{F6F1CC50-2009-0C0D-E053-792F520A0D36},,,,
-76.9549487813621,38.8847380933468,10725591,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 14:20:09+00,2023/04/07 16:06:05+00,2023/04/03 14:20:09+00,2023/03/15 14:20:09+00,,,,Closed,,23-00124561,Standard,334 ANACOSTIA ROAD SE,403908.95,135211.21,38.88473064,-76.95494651,WASHINGTON,DC,20019,298667,7,,,{F6F23799-DB66-71F7-E053-792F520A3614},,,,
-76.9693034886876,38.9300474443423,10725593,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 14:21:33+00,2023/04/04 17:30:14+00,2023/04/03 14:21:33+00,2023/03/15 14:21:33+00,,,,Closed,,23-00124565,Standard,2609 MYRTLE AVENUE NE,402661.81,140240.4,38.93003998,-76.96930121,WASHINGTON,DC,20018,45839,5,,,{F6F23799-DB68-71F7-E053-792F520A3614},,,,
-77.0298922415847,38.9110009855423,10725648,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 15:20:25+00,2023/03/22 15:39:14+00,2023/04/03 15:20:25+00,2023/03/15 15:20:25+00,,,,Closed,,23-00124811,Standard,1300 Q STREET NW,397407.63,138126.06,38.91099353,-77.02988995,WASHINGTON,DC,20009,225357,2,,,{F6F30E30-26A7-3894-E053-792F520AD3E7},,,,
-76.9805658152997,38.937411175713,10725682,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 15:36:45+00,2023/04/07 19:12:08+00,2023/04/03 15:36:45+00,2023/03/15 15:36:45+00,,,,Closed,,23-00124872,Standard,3905 17TH PLACE NE,401685.11,141057.57,38.93740371,-76.98056354,WASHINGTON,DC,20018,29501,5,,,{F6F343D5-3ABC-54BF-E053-792F520A8DD3},,,,
-76.9751449220979,38.8501392246987,10725698,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 16:02:04+00,2023/04/07 14:24:20+00,2023/04/03 16:02:04+00,2023/03/15 16:02:04+00,,,,Closed (Duplicate),,23-00124952,Standard,2024 SAVANNAH PLACE SE,402157.73,131369.81,38.85013178,-76.97514265,WASHINGTON,DC,20020,52609,8,,,{F6F3AF1C-111C-5B74-E053-792F520A6855},,,,
-76.9852217063867,38.9375175243548,10725739,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 16:38:04+00,2023/03/25 12:27:03+00,2023/04/03 16:38:04+00,2023/03/15 16:38:04+00,,,,Closed,,23-00125074,Standard,1400 QUINCY STREET NE,401281.45,141069.3,38.93751006,-76.98521943,WASHINGTON,DC,20017,289607,5,,,{F6F41A66-10F9-050B-E053-792F520ABEB2},,,,
-76.9617461631874,38.8611510213746,10725748,S0000,Abandoned Vehicle - On Public Property,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 16:40:42+00,2023/03/27 13:43:24+00,2023/04/03 16:40:42+00,2023/03/15 16:40:42+00,,,,Closed,,23-00125089,Standard,2315 32ND STREET SE,403320.29,132592.6,38.86114357,-76.96174389,WASHINGTON,DC,20020,48797,7,,,{F6F41A66-1102-050B-E053-792F520ABEB2},,,,
