,service_code,service_code_desc,add_date,resolution_date,service_due_date,service_order_date,priority,street_address,zipcode,ward
0,S0336,Out of State Parking Violation (ROSA),2023/03/15 04:34:29+00,2023/03/15 07:46:56+00,2023/04/26 04:34:29+00,2023/03/15 04:34:29+00,1,7500 EASTERN AVENUE NW,20012,4
1,S0261,Parking Enforcement,2023/03/15 04:39:45+00,2023/03/15 08:37:17+00,2023/03/16 04:39:45+00,2023/03/15 04:39:45+00,1,2323 SHERMAN AVENUE NW,20001,1
2,S0336,Out of State Parking Violation (ROSA),2023/03/15 05:03:54+00,2023/03/15 07:10:37+00,2023/04/27 05:03:54+00,2023/03/15 05:03:54+00,1,30 17TH STREET SE,20003,7
3,S0261,Parking Enforcement,2023/03/15 10:59:06+00,2023/03/15 16:04:07+00,2023/03/16 10:59:06+00,2023/03/15 10:59:06+00,1,1606 K STREET NE,20002,5
4,S0261,Parking Enforcement,2023/03/15 11:07:59+00,2023/03/15 12:55:44+00,2023/03/16 11:07:59+00,2023/03/15 11:07:59+00,1,1531 41ST STREET SE,20020,7
5,S0261,Parking Enforcement,2023/03/15 12:30:50+00,2023/03/15 17:39:21+00,2023/03/16 12:30:50+00,2023/03/15 12:30:50+00,1,2201 CHAMPLAIN STREET NW,20009,1
6,S0261,Parking Enforcement,2023/03/15 12:33:30+00,2023/03/15 15:08:27+00,2023/03/16 12:33:30+00,2023/03/15 12:33:30+00,1,1124 25TH STREET NW,20037,2
7,S0261,Parking Enforcement,2023/03/15 12:36:09+00,2023/03/15 14:19:52+00,2023/03/16 12:36:09+00,2023/03/15 12:36:09+00,1,845 19TH STREET NE,20002,5
8,S0261,Parking Enforcement,2023/03/15 12:40:23+00,2023/03/15 13:12:59+00,2023/03/16 12:40:22+00,2023/03/15 12:40:23+00,1,1529 16TH STREET NW,20036,2
9,S0261,Parking Enforcement,2023/03/15 12:40:39+00,2023/03/15 14:02:54+00,2023/03/16 12:40:39+00,2023/03/15 12:40:39+00,1,1529 16TH STREET NW,20036,2
10,S0261,Parking Enforcement,2023/03/15 12:40:46+00,2023/03/15 14:59:30+00,2023/03/16 12:40:46+00,2023/03/15 12:40:46+00,1,310 11TH STREET NE,20002,6
11,S0261,Parking Enforcement,2023/03/15 12:42:12+00,2023/03/15 14:00:02+00,2023/03/16 12:42:12+00,2023/03/15 12:42:12+00,1,1230 BRENTWOOD ROAD NE,20018,5
12,S0261,Parking Enforcement,2023/03/15 14:54:54+00,2023/03/15 16:16:36+00,2023/03/16 14:54:54+00,2023/03/15 14:54:54+00,1,1848 VERNON STREET NW,20009,1
13,S0261,Parking Enforcement,2023/03/15 14:58:01+00,2023/03/15 16:21:05+00,2023/03/16 14:58:01+00,2023/03/15 14:58:01+00,1,350 U STREET NE,20002,5
14,S0261,Parking Enforcement,2023/03/15 14:45:25+00,2023/03/15 17:33:42+00,2023/03/16 14:45:25+00,2023/03/15 14:45:25+00,1,2422 IRVING STREET SE,20020,8
15,S0261,Parking Enforcement,2023/03/15 14:47:01+00,2023/03/15 15:43:06+00,2023/03/16 14:47:01+00,2023/03/15 14:47:01+00,1,2400 EAST CAPITOL STREET NE,20003,7
16,S0261,Parking Enforcement,2023/03/15 14:50:56+00,2023/03/15 16:14:03+00,2023/03/16 14:50:56+00,2023/03/15 14:50:56+00,1,333 16TH STREET NE,20002,7
