X,Y,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD,DETAILS,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-77.0234535675597,38.9818500722836,10724421,S0336,Out of State Parking Violation (ROSA),PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 04:34:29+00,2023/03/15 07:46:56+00,2023/04/26 04:34:29+00,2023/03/15 04:34:29+00,,,,Closed,,23-00124003,Standard,7500 EASTERN AVENUE NW,397968.08,145990.78,38.9818426,-77.02345127,WASHINGTON,DC,20012,251131,4,,,{F6EA0B7F-2B37-77F1-E053-782F520A3108},,,,
-77.0249353417282,38.9210841863842,10724422,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 04:39:45+00,2023/03/15 08:37:17+00,2023/03/16 04:39:45+00,2023/03/15 04:39:45+00,,,,Closed,,23-00124004,Standard,2323 SHERMAN AVENUE NW,397837.85,139245.25,38.92107639,-77.02493305,WASHINGTON,DC,20001,232313,1,,,{F6EA0B7F-2B38-77F1-E053-782F520A3108},,,,
-76.9805222850008,38.8890216161522,10724423,S0336,Out of State Parking Violation (ROSA),PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 05:03:54+00,2023/03/15 07:10:37+00,2023/04/27 05:03:54+00,2023/03/15 05:03:54+00,,,,Closed,,23-00124007,Standard,30 17TH STREET SE,401690.03,135685.93,38.88901416,-76.98052001,WASHINGTON,DC,20003,155403,7,,,{F6EA76D6-0841-1BC3-E053-782F520A3E86},,,,
-76.9809786495137,38.9027322459056,10724429,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 10:59:06+00,2023/03/15 16:04:07+00,2023/03/16 10:59:06+00,2023/03/15 10:59:06+00,,,,Closed,,23-00124040,Standard,1606 K STREET NE,401650.12,137207.91,38.90272479,-76.98097637,WASHINGTON,DC,20002,60120,5,,,{F6EF7E33-55EB-7477-E053-782F520AA985},,,,
-76.9439752841731,38.8675175728962,10724431,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 11:07:59+00,2023/03/15 12:55:44+00,2023/03/16 11:07:59+00,2023/03/15 11:07:59+00,,,,Closed,,23-00124043,Standard,1531 41ST STREET SE,404862.21,133300.13,38.86751012,-76.94397302,WASHINGTON,DC,20020,61047,7,,,{F6EF7E33-55ED-7477-E053-782F520AA985},,,,
-77.0404726076199,38.9199418158558,10724441,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 12:30:50+00,2023/03/15 17:39:21+00,2023/03/16 12:30:50+00,2023/03/15 12:30:50+00,,,,Closed,,23-00124156,Standard,2201 CHAMPLAIN STREET NW,396490.43,139118.92,38.91993436,-77.04047031,WASHINGTON,DC,20009,235650,1,,,{F6F0C010-24F7-6CE5-E053-782F520AFC2B},,,,
-77.0534768386114,38.9045880852458,10724443,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 12:33:30+00,2023/03/15 15:08:27+00,2023/03/16 12:33:30+00,2023/03/15 12:33:30+00,,,,Closed,,23-00124162,Standard,1124 25TH STREET NW,395361.71,137415.11,38.90458063,-77.05347454,WASHINGTON,DC,20037,274880,2,,,{F6F0C010-24F9-6CE5-E053-782F520AFC2B},,,,
-76.9759770098962,38.9011859408719,10724445,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 12:36:09+00,2023/03/15 14:19:52+00,2023/03/16 12:36:09+00,2023/03/15 12:36:09+00,,,,Closed,,23-00124167,Standard,845 19TH STREET NE,402084.01,137036.36,38.90117849,-76.97597473,WASHINGTON,DC,20002,81391,5,,,{F6F0C010-24FB-6CE5-E053-782F520AFC2B},,,,
-77.0359532605729,38.9108864030745,10724450,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 12:40:23+00,2023/03/15 13:12:59+00,2023/03/16 12:40:22+00,2023/03/15 12:40:23+00,,,,Closed,,23-00124181,Standard,1529 16TH STREET NW,396881.95,138113.53,38.91087895,-77.03595097,WASHINGTON,DC,20036,225737,2,,,{F6F0C010-2500-6CE5-E053-782F520AFC2B},,,,
-77.0359532605729,38.9108864030745,10724451,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 12:40:39+00,2023/03/15 14:02:54+00,2023/03/16 12:40:39+00,2023/03/15 12:40:39+00,,,,Closed,,23-00124182,Standard,1529 16TH STREET NW,396881.95,138113.53,38.91087895,-77.03595097,WASHINGTON,DC,20036,225737,2,,,{F6F0C010-2501-6CE5-E053-782F520AFC2B},,,,
-76.991773112311,38.8939979148027,10724453,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 12:40:46+00,2023/03/15 14:59:30+00,2023/03/16 12:40:46+00,2023/03/15 12:40:46+00,,,,Closed,,23-00124184,Standard,310 11TH STREET NE,400713.89,136238.19,38.89399046,-76.99177083,WASHINGTON,DC,20002,40839,6,,,{F6F0C010-2503-6CE5-E053-782F520AFC2B},,,,
-76.9886711436944,38.9229904777975,10724456,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 12:42:12+00,2023/03/15 14:00:02+00,2023/03/16 12:42:12+00,2023/03/15 12:42:12+00,,,,Closed,,23-00124189,Standard,1230 BRENTWOOD ROAD NE,400982.59,139456.63,38.92298302,-76.98866886,WASHINGTON,DC,20018,70537,5,,,{F6F0C010-2506-6CE5-E053-782F520AFC2B},,,,
-77.0435045368619,38.9168732094581,10724462,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 14:54:54+00,2023/03/15 16:16:36+00,2023/03/16 14:54:54+00,2023/03/15 14:54:54+00,,,,Closed,,23-00124710,Standard,1848 VERNON STREET NW,396227.34,138778.4,38.91686575,-77.04350224,WASHINGTON,DC,20009,305001,1,,,{F6F2A2DD-5417-6F02-E053-782F520AEA37},,,,
-77.0013039011338,38.9172018178742,10724471,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 14:58:01+00,2023/03/15 16:21:05+00,2023/03/16 14:58:01+00,2023/03/15 14:58:01+00,,,,Closed,,23-00124723,Standard,350 U STREET NE,399887.12,138813.98,38.91719403,-77.00130162,WASHINGTON,DC,20002,287964,5,,,{F6F2A2DD-5420-6F02-E053-782F520AEA37},,,,
-76.9708162351901,38.8532219905569,10724477,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 14:45:25+00,2023/03/15 17:33:42+00,2023/03/16 14:45:25+00,2023/03/15 14:45:25+00,,,,Closed,,23-00124663,Standard,2422 IRVING STREET SE,402533.37,131712.13,38.85321455,-76.97081396,WASHINGTON,DC,20020,47255,8,,,{F6F2A2DD-5426-6F02-E053-782F520AEA37},,,,
-76.9729454121382,38.8898797765438,10724482,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 14:47:01+00,2023/03/15 15:43:06+00,2023/03/16 14:47:01+00,2023/03/15 14:47:01+00,,,,Closed,,23-00124677,Standard,2400 EAST CAPITOL STREET NE,402347.35,135781.36,38.88987232,-76.97294314,WASHINGTON,DC,20003,307772,7,,,{F6F2A2DD-542B-6F02-E053-782F520AEA37},,,,
-76.9819918210061,38.8943732763674,10724491,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 14:50:56+00,2023/03/15 16:14:03+00,2023/03/16 14:50:56+00,2023/03/15 14:50:56+00,,,,Closed,,23-00124696,Standard,333 16TH STREET NE,401562.42,136279.98,38.89436582,-76.98198954,WASHINGTON,DC,20002,36209,7,,,{F6F2A2DD-5434-6F02-E053-782F520AEA37},,,,
-77.0435045368619,38.9168732094581,10724494,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 14:59:16+00,2023/03/15 16:16:36+00,2023/03/16 14:59:16+00,2023/03/15 14:59:16+00,,,,Closed (Duplicate),,23-00124726,Standard,1848 VERNON STREET NW,396227.34,138778.4,38.91686575,-77.04350224,WASHINGTON,DC,20009,305001,1,,,{F6F2D87E-3904-7F8A-E053-782F520AED12},,,,
-77.0194838440462,38.9356821137109,10724500,S0336,Out of State Parking Violation (ROSA),PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 15:00:13+00,2023/03/16 07:01:07+00,2023/04/27 15:00:13+00,2023/03/15 15:00:13+00,,,,Closed,,23-00124732,Standard,3646 PARK PLACE NW,398310.94,140865.63,38.93567432,-77.01948155,WASHINGTON,DC,20010,228552,1,,,{F6F2D87E-390A-7F8A-E053-782F520AED12},,,,
-76.9658612221059,38.8722226458153,10724511,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2023/03/15 15:06:11+00,2023/03/15 16:44:39+00,2023/03/16 15:06:11+00,2023/03/15 15:06:11+00,,,,Closed,,23-00124752,Standard,2908 P STREET SE,402962.68,133821.49,38.8722152,-76.96585895,WASHINGTON,DC,20020,43608,7,,,{F6F2D87E-3915-7F8A-E053-782F520AED12},,,,
